lid,spectrum,sample,exact,z,hb_class_0.1.0,hb_class_0.2.0,hb_c50_sys_0.1.0,hb_c50_sys_0.2.0,hb_delta_c50,hb_bic_margin_0.2.0,hb_n_broad_0.2.0,hb_fit_status_0.2.0,ha_class_0.1.0,ha_class_0.2.0,ha_c50_sys_0.1.0,ha_c50_sys_0.2.0,ha_delta_c50,ha_bic_margin_0.2.0,conti_feop_fwhm_0.2.0,conti_at_bound_0.2.0,feuv_fwhm_fixed_0.2.0,continuum_status_0.2.0
9000000203,spec-2505-53856-0322.fits,Liu+2014,True,0.428,B,B,558.151,509.644,-48.506,51.746,3,success,--,,,,,,1839.008,,True,success
9000000204,spec-2012-53493-0287.fits,Liu+2014,True,0.203,W,W,-154.597,-154.592,0.005,6.119,2,success,W,W,-131.110,-131.416,-0.305,41.055,1304.912,,False,success
9000000204,spec-10264-58162-0896.fits,Liu+2014,False,0.203,W,W,-191.206,-191.258,-0.052,8.761,2,success,W,W,-131.428,-131.439,-0.011,110.928,1521.478,feuv_shift,True,success
9000000205,spec-2503-53856-0555.fits,Liu+2014,True,0.298,F,F,-108.148,-115.759,-7.611,6.061,2,success,F,F,-172.334,-172.590,-0.257,5.062,1746.440,,True,success
9000000206,spec-1309-52762-0620.fits,Liu+2014,True,0.148,C,C,-153.592,-160.013,-6.421,50.239,3,success,C,C,-106.061,-105.370,0.691,63.642,10000.000,"feop_fwhm,feop_shift",False,success
9000000206,spec-7099-56666-0252.fits,Liu+2014,False,0.148,F,F,-12.563,-12.560,0.003,4.980,1,success,F,F,128.825,128.828,0.003,123.696,9955.095,feop_norm,False,success
9000000206,spec-8176-57131-0874.fits,Liu+2014,False,0.148,C,C,-599.076,-599.081,-0.005,19.976,3,success,F,F,-213.872,-213.869,0.003,76.497,9012.781,feop_norm,False,success
9000000207,spec-1444-53054-0321.fits,Liu+2014,True,0.220,C,C,-1296.764,-1297.370,-0.605,0.933,2,success,C,C,-781.975,-781.870,0.106,27.718,7489.518,feop_norm,False,success
9000000207,spec-6685-56412-0003.fits,Liu+2014,False,0.220,B,B,670.804,664.465,-6.339,7.465,2,success,B,B,-477.564,-477.457,0.107,5.402,1200.000,"feop_fwhm,feuv_shift",True,success
9000000207,spec-7399-57162-0932.fits,Liu+2014,False,0.220,E,E,2291.635,2107.728,-183.907,2.338,1,success,C,C,-954.593,-950.078,4.514,6.007,1200.135,,True,success
9000000208,spec-1444-53054-0274.fits,Liu+2014,True,0.566,C,C,540.335,539.482,-0.853,10.390,2,success,--,,,,,,1244.000,"feop_norm,feuv_fwhm,feuv_shift",False,success
9000000208,spec-7398-56781-0827.fits,Liu+2014,False,0.566,A,A,333.432,332.275,-1.158,40.867,3,success,--,,,,,,1713.462,"feop_norm,feuv_fwhm,feuv_shift",False,success
9000000209,spec-1224-52765-0414.fits,Liu+2014,True,0.278,C,C,671.179,670.900,-0.279,9.959,2,success,A,A,509.521,509.442,-0.079,7.286,1454.885,feuv_shift,True,success
