lambda_nm,f_lambda,sigma
309.59415849331714,10.985179901123047,0.66802844835559
309.66538303109485,10.21591567993164,0.6561087849559959
309.73679399861174,9.70645980834961,0.6438557081081364
309.80805134741865,9.507813262939454,0.6700618431653531
309.87949521184885,9.996504974365235,0.6448494395336183
309.95078538680303,9.830014801025392,0.6349199450871537
310.0222621633043,9.500601196289063,0.6352577745135056
310.0935851795307,9.60059051513672,0.6326297607572536
310.16492460248674,9.354007720947266,0.6419484124047766
310.23645075589826,9.105763244628907,0.637789798047384
310.3078230428182,8.748490142822266,0.6419958945590156
310.37938214621636,10.596057891845703,0.6745282090111047
310.45078731224254,11.224478912353517,0.6862341712066835
310.5223793808093,9.68495330810547,0.6746583542876117
310.59381744109135,8.542481994628906,0.7247727232410136
310.66527193457216,10.330504608154298,0.7417999122138031
310.73691345971,11.563960266113282,0.6991371905276619
310.80840087017475,10.219087219238283,0.660631627417334
310.88007539845813,10.007504272460938,0.6431357874573531
310.9515957410737,11.169438934326173,0.6526423902289613
311.023303287709,10.260007476806642,0.6296161544314534
311.0948565776492,10.768503570556641,0.625017084357915
311.1665971578501,10.720818328857423,0.6129248274863159
311.23818341029585,9.547967529296875,0.5867099087518223
311.3097861300363,9.022195434570312,0.5780154642474362
311.3815762694219,9.492338562011719,0.5876419391040262
311.4532119744432,9.99499969482422,0.6004573472841174
311.5250351854499,10.325131988525392,0.6121332281620193
311.5967038909504,10.38819808959961,0.6200570057511318
311.66856018881623,9.128994750976563,0.6042542729797095
311.7402619100011,10.119908905029298,0.6149793143194757
311.8119801250478,10.249774932861328,0.615402099145967
311.88388606205297,10.139642333984376,0.6044694175801316
311.95563731559616,9.534400939941406,0.5883241501898863
312.0275763775775,9.708907318115235,0.5837708024797743
312.09936068483995,10.391206359863283,0.5843630589627057
312.1713328870598,9.915242004394532,0.5768649335678291
312.24315026327156,9.102500152587892,0.558558127553764
312.31498415995486,10.450532531738283,0.5810022960864959
312.38700608139766,11.343373107910157,0.5914540329430688
312.458873069879,10.210594177246094,0.5783380312461921
312.5309281697389,10.598113250732423,0.5865263606692507
312.60282826526554,10.124180603027344,0.5759632223947458
312.67491655882986,10.280881500244142,0.5766912185818344
312.74684977665635,10.257066345214845,0.5737752217427079
312.818799541607,9.704373931884767,0.5551060510566763
312.890937634607,10.157006835937501,0.5645896297035407
312.9629205447431,11.147303771972657,0.5742738948107221
313.0350918696873,10.317841339111329,0.5653224687351951
313.10710794028086,9.969960021972657,0.5514865524307212
313.17931251248126,9.708517456054688,0.5437773558251756
313.25136175881124,9.768259429931641,0.5489309836574122
313.3234275789612,10.016818237304689,0.536955750988888
313.39568203093927,9.794914245605469,0.5369409295366979
313.4677810497483,9.510834503173829,0.5255233437709856
313.54006878728404,9.875794219970704,0.5351298238491434
313.61220102004864,10.367609405517578,0.5378928826997987
313.6845220584788,9.752349090576173,0.529959712411365
313.7566875205027,8.962474822998047,0.5160258140194677
313.8288695830852,10.670960998535158,0.5399494272147413
313.9012405817648,10.055589294433595,0.5302840778911387
313.973455896566,9.670008850097657,0.5229080451267782
314.04586023450327,9.46969223022461,0.51701173767669
314.1181088168445,9.820160675048829,0.5272069512730313
314.1905465094009,10.06930923461914,0.5323340139394138
314.2628283746106,10.004769134521485,0.5380716535133284
314.33512686716074,9.850979614257813,0.5231394455256567
314.4076146005678,9.223466491699218,0.5149239326519895
314.4799463989829,9.944518280029298,0.5161923347633353
314.5524675254343,10.394239807128907,0.5277642572982356
314.6248326450602,9.573369598388672,0.5074916289899575
314.697387179942,8.988233947753907,0.5071222262067456
314.76978563613187,9.661518096923828,0.5119358370631947
314.8422007464874,10.04553680419922,0.5273777880240282
314.9148054029512,10.058794403076172,0.5235369507443716
314.98725387290426,9.991575622558594,0.5219285839382213
315.0598919762857,9.511177062988281,0.5193118502347714
315.1323738212069,10.233505249023438,0.525428913335151
315.2050453869168,9.8169677734375,0.5202582908719714
315.2775606221843,9.51392822265625,0.5120226515031064
315.3500925384855,10.678170776367189,0.5223720462955884
315.42281430663905,9.823450469970703,0.5156150036202493
315.49537963635714,9.37593994140625,0.5046497641786238
315.56813490538843,9.59051284790039,0.5090135345229609
315.6407336639189,9.437117004394532,0.5066490200997094
315.7135224492636,9.445726776123047,0.5086787483338521
315.78615465200915,9.755753326416016,0.5124151042738608
315.8588035627,9.03598861694336,0.4977464910757874
315.9316426314803,8.599901580810547,0.49165869927487593
316.00432500949427,10.095166778564455,0.5086471248205282
316.0771976331995,10.007800292968751,0.5085167462661646
316.14991349395666,9.373534393310548,0.505000975893659
316.22281968804754,10.164955139160156,0.5132935607826837
316.2955690469754,9.454075622558594,0.5009505161611417
316.3683351408038,8.604483032226563,0.4906682082429421
316.4412916994528,9.66436996459961,0.5041435533232334
316.51409131459707,9.591738891601564,0.5002508364063574
316.5870814823053,9.7080810546875,0.505834362853728
316.6599146342108,9.25619888305664,0.5017537899728894
316.7329384264639,9.917288970947267,0.5194460387049858
316.8058051305828,10.29783172607422,0.6057075855014217
316.87886256287345,9.888925933837891,0.6001040878485179
316.9517628346652,9.514510345458985,0.5286265415483267
317.02467987607923,10.590919494628906,0.5398750240815827
317.0977877774247,10.75738525390625,0.5427022114352136
317.1707384097048,8.903954315185548,0.5105977567123207
317.2438799898417,10.272727966308594,0.5225573865356279
317.3168642284652,11.372684478759766,0.5332272881289283
317.39003950291124,11.25958251953125,0.5322575463654378
317.4630573633625,10.702828216552735,0.5157334167275892
317.53609202049023,10.947434997558595,0.5234259564876451
317.60931784541293,10.621912384033203,0.5106735971911147
317.68238614759923,10.254605865478517,0.5085118721852276
317.75564570564734,10.340055847167969,0.5102229199952414
317.8287476683942,10.710446166992188,0.5158323015329976
317.9020409751107,10.6566162109375,0.5157936507135745
317.9751766139274,9.71008758544922,0.5013477505906939
318.04832907651877,10.55665283203125,0.5039907803049849
318.1216730152651,10.048910522460938,0.49025497502652543
318.1948591771944,9.262818145751954,0.46979345211877005
318.26823690348806,10.913482666015625,0.48990525606848334
318.3414567802826,10.526071166992189,0.4870958007713213
318.41486830969114,10.495755767822267,0.488445873221718
318.48812191688523,10.277159881591798,0.4833483565057348
318.5613923749959,9.641047668457032,0.4766920076017753
318.634854618119,11.044082641601562,0.49657749231289083
318.70815882993486,10.757777404785157,0.4824521164272986
318.7816549151146,9.53399658203125,0.4649398107816903
318.8549928961878,10.698303985595704,0.471994345604843
318.92852283901726,9.796800994873047,0.4577007022679507
319.00189460490714,10.011419677734375,0.45322474681403374
319.07528324889915,10.076808166503907,0.45667939321131423
319.14886398725946,10.017340087890625,0.4548299649853224
319.2222864394115,10.005404663085939,0.45859577165832344
319.29590107442584,9.989031219482422,0.4569465678807294
319.3693573503152,10.14590835571289,0.4560910704589664
319.4430058976016,9.866546630859375,0.44588952755673167
319.5164960128127,10.224217987060548,0.4459800269039397
319.5900030333554,9.719077301025392,0.435152541745313
319.663702458121,9.642655181884766,0.430940718332802
319.73724334136625,9.599745178222657,0.43497928844867845
319.8109767174715,9.787515258789064,0.4365125941312329
319.8845514790217,9.744192504882813,0.44223985329982834
319.95831882210956,9.646874237060548,0.44083302836230304
320.0319274775745,9.82867889404297,0.4444248058113184
320.10555306564436,9.775404357910157,0.4446427844081262
320.1793713682919,9.717063903808594,0.4424077215466056
320.2530308736949,10.716032409667969,0.4586832668754133
320.3268831824556,10.320597076416016,0.4532306775091883
320.4005766208194,9.755284118652344,0.445386024913506
320.47446295136166,9.416567993164064,0.44170843158579143
320.548190338321,10.369712066650392,0.4566045646929795
320.6219346852026,10.336399841308594,0.4554850892652875
320.6958720575173,9.516128540039062,0.4489745891791823
320.7696503764508,9.7363037109375,0.44537356779654336
320.8436218097405,10.003202819824219,0.45117061978146866
320.9174341163786,9.725083923339845,0.4466721273867867
320.9914396263371,10.527616882324219,0.45645296309295
321.06528593634005,10.361392974853516,0.4513647288450562
321.13914923362637,9.94552230834961,0.4422759448003166
321.21320586770287,9.075244140625001,0.4330691913371434
321.2871031918481,9.344095611572266,0.43720014395182283
321.3611939418499,10.017449188232423,0.44132422409915917
321.43512530853206,9.229203033447266,0.49243357801027365
321.50925019017825,8.853763580322266,0.48119072207486335
321.5832156150824,10.014916992187501,0.4637743929499107
321.6571980546756,9.066663360595703,0.44727786365714856
321.73137414291807,9.334085845947266,0.44169305428803773
321.8053906642654,10.027719116210939,0.4538254998632743
321.87960092347237,9.214552307128907,0.4417842821713544
321.95365154227716,8.513870239257812,0.43317818946672937
322.02789598819277,8.48517532348633,0.4360597733596496
322.1019807201656,9.492131805419922,0.45505151239496977
322.17625936854165,9.57807846069336,0.4657519753063228
322.25037822940027,8.84659194946289,0.46302268585294204
322.32451414024973,9.22436981201172,0.47555236777844156
322.39884410146493,9.318916320800781,0.48831519055025246
322.4730141647811,9.434234619140625,0.5015890275056979
322.5473783678582,9.56922073364258,0.5159335199012884
322.62158259937684,10.090738677978516,0.5282402079536802
322.69598106009283,9.960904693603517,0.524411926888329
322.77021947555716,10.007189941406251,0.526305822381176
322.8444749685189,11.028846740722656,0.5237684648153995
322.91892482485684,10.275903320312501,0.4989881301969026
322.993214525383,8.921372222900391,0.4656114429322675
323.06769867882485,10.285791015625001,0.47688280927843074
323.14202260267695,10.297042083740235,0.4698566378706878
323.21654106902514,9.343930053710938,0.4480620791119561
323.2908992319714,9.660611724853517,0.4458362348715256
323.3652744999662,9.966009521484375,0.44789870662982434
323.4398444448523,10.010015869140625,0.4421591144576555
323.5142539755983,9.722808074951173,0.4347727748752629
323.5888582729196,9.402512359619141,0.43096525692501403
323.6633020822035,9.828539276123047,0.4337859954458111
323.7379407477879,9.861244201660156,0.43380424134843915
323.81241885140366,9.134039306640625,0.4237564515372637
323.8869140876631,9.679761505126955,0.4293919348006787
323.9616043148351,9.873627471923829,0.42558274691062875
324.03613386912167,9.72311782836914,0.42084519070113435
324.1108585041492,9.535520935058594,0.4184713663735738
324.18542239227475,9.919775390625,0.41522609843352376
324.26018145101136,9.570468139648439,0.41149826054815586
324.33477968879544,9.57833251953125,0.4100595626742234
324.40939508686324,9.724594116210938,0.4162442838154603
324.4842057903712,9.566581726074219,0.41403338553066027
324.5588555618308,9.576342773437501,0.4181789388437216
324.63370072870396,9.530661773681642,0.41581543878899246
324.7083848893931,9.292943572998047,0.40739565130322747
324.7832645355107,9.594353485107423,0.40711381570314037
324.8579831012741,8.606385803222656,0.3926995645456702
324.93271885500565,10.196045684814454,0.4093994945219083
325.0076502292124,9.981175994873048,0.41038184248195186
325.08242041179,9.888999176025392,0.4050884983986491
325.15738630496134,9.67114486694336,0.4006365441244179
325.23219093224805,9.355587005615234,0.3966683961253856
325.3071913602887,9.63276596069336,0.4010107672696953
325.3820304481549,9.703044891357422,0.4018531278920957
325.4568867517185,9.819319915771485,0.39992194077095333
325.5319389913005,9.578269958496094,0.3950724538361594
325.6068297792536,9.829106903076173,0.3961841970882208
325.68191659348906,8.979351806640626,0.3853695949592202
325.75684188172045,9.255917358398438,0.3913044046249119
325.8319632865399,10.07377395629883,0.39885690939749097
325.90692309094555,9.966999053955078,0.40111428664690535
325.9819001388224,9.248939514160156,0.3890571522853098
326.05707343876986,9.41974105834961,0.39058812410664895
326.1320850266694,10.001145935058595,0.3970432923945437
326.20729295704933,9.160504150390626,0.3847978240801558
326.2823391008858,9.390435791015625,0.38831998040056925
326.357581677654,10.393431091308594,0.4022900245590683
326.43266239334923,9.564827728271485,0.3935879873372542
326.50776038033416,9.305282592773438,0.3965091757182651
326.58305493595213,10.200952148437501,0.4140594052281629
326.6581875186826,10.406898498535156,0.4317916492629927
326.7335167606017,10.187385559082031,0.4248599780687092
326.8086839550176,9.822687530517578,0.40034378930497216
326.88404789921935,9.342263793945312,0.3896923886318078
326.9592497212683,9.46179885864258,0.38612477654817523
327.03446884247035,8.616558837890626,0.3736053517369996
327.1098848493785,8.701337432861328,0.3765539407615744
327.1851386221388,8.695931243896485,0.37676003429078053
327.2605893713067,8.950959014892579,0.37695058280371707
327.33587781159105,9.223306274414062,0.387958487458089
327.41136331902624,9.00184555053711,0.38770184135345903
327.48668644280764,8.793075561523438,0.39222562365412217
327.5620268936507,8.953693389892578,0.3904970546666732
327.6375645477841,9.23517303466797,0.3903683702093721
327.7129397060881,9.014698028564453,0.3783618802191873
327.7885121585301,8.012751770019532,0.36385412149837637
327.86392204028664,8.839218902587891,0.371556091549484
327.9395293070711,8.516810607910157,0.36754621710189017
328.01497392827883,8.97766799926758,0.37213166458112523
328.0906160254461,8.56961441040039,0.3708570440798617
328.1660954021114,9.356358337402344,0.3810236679544338
328.2415921417879,9.455735778808593,0.38662933365043856
328.3172864938461,8.759507751464843,0.3790998719087456
328.39281801299376,8.940103912353516,0.38132575536665
328.46854723555936,9.151783752441407,0.3835375173211723
328.5441135502027,8.55740966796875,0.3739958573270441
328.6198776593425,8.628899383544923,0.37394539440959884
328.6954787855137,8.869064331054688,0.37656949595355277
328.77109730270774,8.62612533569336,0.37751103971951094
328.8469137510398,9.270744323730469,0.38607706838992895
328.92256710381395,9.019550323486328,0.3895734619048894
328.99841847890946,8.394490814208984,0.3853566968505447
329.0741066833141,8.996913146972657,0.3977363134381101
329.1499930012655,9.424118804931641,0.4126058091557965
329.2257160733586,8.841257476806641,0.4216763074192158
329.3014565645311,9.183616638183594,0.42894051703491237
329.37739530611276,8.776244354248048,0.41842164889026096
329.4531706890648,8.689037322998047,0.39878119467906137
329.52914441375634,9.365845489501954,0.39876423331142763
329.60495470456425,9.096907806396485,0.3995421415098761
329.68096342848423,8.579013061523439,0.3917739570699365
329.75680864323203,8.463301849365235,0.3900946852403504
329.83267130516094,8.906522369384765,0.39317527292556526
329.90873253728495,8.950708770751953,0.3968509965223528
329.9846301472835,8.943474578857423,0.39469857189417246
330.0607264189549,9.321134948730469,0.40185492892386265
330.1366589931254,8.621827697753906,0.3895689907802491
330.2127903204887,9.060950469970704,0.39620954315435036
330.2887578749409,8.898027801513672,0.39576121513194845
330.3647429047216,8.548479461669922,0.38586136968497387
330.440926824999,8.583052062988282,0.38370383283312587
330.5169468592303,8.822144317626954,0.38383718017691504
330.5931658755836,9.143505096435547,0.39001876742214014
330.6692209303937,8.880908203125001,0.38811058567682544
330.74547505899335,8.727098846435547,0.3896953428027923
330.821565150518,9.1408935546875,0.39110376363980914
330.89767274556334,8.90857391357422,0.3843668437622443
330.9739795519242,8.73898696899414,0.378503550119618
331.050122207892,8.845433044433594,0.3824857031704675
331.12646416694827,9.521837615966797,0.393111799557428
331.20264189999284,8.792794799804687,0.38690279645832365
331.27901902794116,8.949520111083984,0.38506116301614224
331.355231854224,9.08197479248047,0.38339839331300957
331.4314622122657,9.236705780029297,0.3839375824093756
331.5078921029589,8.868785858154297,0.3782172048932589
